Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-08-30,LTCBTC,0.008731,0.008756,0.008554,0.008614,161474.92,1396.68
2018-08-29,LTCBTC,0.008926,0.00897,0.008676,0.008731,167121.87,1468.78
2018-08-28,LTCBTC,0.00878,0.00896,0.008633,0.008926,167939.27,1471.23
2018-08-27,LTCBTC,0.008508,0.008908,0.00847,0.00878,164935.02,1415.57
2018-08-26,LTCBTC,0.008594,0.0086,0.00847,0.008508,147248.66,1251.9
2018-08-25,LTCBTC,0.008645,0.00867,0.00853,0.008594,138854.9,1194.14
2018-08-24,LTCBTC,0.008772,0.00883,0.008545,0.008645,158075.63,1374.25
2018-08-23,LTCBTC,0.00869,0.008869,0.008348,0.008772,147052.16,1273.5
2018-08-22,LTCBTC,0.008704,0.008725,0.008534,0.00869,148889.63,1283.69
2018-08-21,LTCBTC,0.008544,0.008761,0.008508,0.008704,143888.2,1239.18
2018-08-20,LTCBTC,0.008915,0.008976,0.008488,0.008544,173937.1,1519.97
2018-08-19,LTCBTC,0.00893,0.009147,0.008811,0.008915,173720.52,1553.87
2018-08-18,LTCBTC,0.009391,0.009424,0.008699,0.00893,176406.53,1589.62
2018-08-17,LTCBTC,0.008763,0.009414,0.008728,0.009391,186995.11,1673.53
2018-08-16,LTCBTC,0.008665,0.008916,0.008662,0.008763,140872.45,1236.17
2018-08-15,LTCBTC,0.008773,0.009012,0.008613,0.008665,198030.88,1743.22
2018-08-14,LTCBTC,0.009037,0.009049,0.008345,0.008773,180109.68,1547.6
2018-08-13,LTCBTC,0.009396,0.009396,0.00895,0.009037,159638.96,1465.86
2018-08-12,LTCBTC,0.009085,0.009085,0.009085,0.009085,0.0,0.0
2018-08-11,LTCBTC,0.009612,0.009617,0.009045,0.009085,92265.47,853.16
2018-08-10,LTCBTC,0.00963,0.009771,0.009548,0.009612,156713.97,1508.74
2018-08-09,LTCBTC,0.009885,0.01008,0.009612,0.00963,160867.26,1583.84
2018-08-08,LTCBTC,0.01002,0.0102,0.00975,0.009885,167741.4,1679.92
2018-08-07,LTCBTC,0.01061,0.01066,0.009938,0.01002,163470.24,1704.65
